class,line
28,564
28,565
28,568
291,38
291,39
291,40
291,42
291,43
291,44
291,48
291,53
291,70
291,75
291,76
291,77
291,81
291,82
292,38
292,39
292,40
292,42
292,43
292,44
292,48
292,53
292,58
292,59
292,60
292,70
292,75
292,76
292,77
292,81
292,82
36,1289
36,1290
36,1292
164,951
164,952
164,959
164,961
164,962
164,973
164,983
164,984
164,985
164,986
164,987
164,988
164,989
164,990
164,991
164,992
164,1003
164,1004
164,1005
164,1008
164,1009
164,1010
164,1011
164,1014
164,1020
164,1022
123,314
283,2315
1,560
1,681
28,549
95,253
95,256
95,263
95,319
95,320
95,321
95,324
95,325
95,326
95,331
95,334
95,335
95,336
95,340
262,221
262,222
223,142
223,146
223,147
218,54
218,59
218,60
218,61
218,62
164,1015
164,1016
131,261
131,264
131,266
55,163
